2021-06-30 19:06:75 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:97 INFO  HomePage :38 - Clicking on Computer Link : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //div[@class='header-menu']/ul[1]/li[1]/a]
2021-06-30 19:06:832 INFO  Computer :21 - Clicking on desktop link : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //ul[@class='sublist']/li[1]/a]
2021-06-30 19:06:317 INFO  Desktop :58 - Select sort by A to Z : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> id: products-orderby]
2021-06-30 19:06:660 INFO  Desktop :63 - Click on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 19:06:843 INFO  BuildYourOwnComputer :47 - Verify the Text, Build Your Own Computer : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 19:06:170 INFO  BuildYourOwnComputer :54 - Selection of Processor Attribute : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //select[@id='product_attribute_1']]
2021-06-30 19:06:173 INFO  BuildYourOwnComputer :60 - Selection of Ram Attribute : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //select[@id='product_attribute_2']]
2021-06-30 19:06:607 INFO  BuildYourOwnComputer :69 - Selection of HDD Attribute : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //input[@id='product_attribute_3_7']]
2021-06-30 19:06:751 INFO  BuildYourOwnComputer :81 - Selection of OS Attribute : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //input[@id='product_attribute_4_9']]
2021-06-30 19:06:46 INFO  BuildYourOwnComputer :111 - Selection of Software Attribute : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //input[@id='product_attribute_5_12']]
2021-06-30 19:06:89 INFO  BuildYourOwnComputer :115 - Verifying the Price : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //span[@id='price-value-1']]
2021-06-30 19:06:599 INFO  BuildYourOwnComputer :121 - Click on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (a600e7b46b993274af65e628f1351f70)] -> xpath: //span[@id='price-value-1']]
2021-06-30 19:06:305 INFO  BuildYourOwnComputer :125 - Verifying the Text, Product is added to Cart : Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='bar-notification']/div/p'
2021-06-30 19:06:12 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:490 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:150 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:392 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (f53a62df56d30f07acc0104dce837896)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:923 INFO  BasePage :30 - Launching Chrome Browser....
